Account,XXXX-X898
Tax Year,2020

"Form 1099DIV",
"Box","Description","Amount","Total","Details",
"1a","Total Ordinary Dividends (Includes amount shown in box 1b)","","$691.55","",
"1b","Qualified Dividends","$367.54","","",
"2a","Total Capital Gain Distributions (Includes amounts shown in boxes 2b 2c and 2d)","","$240.84","",
"2b","Unrecap. Sec. 1250 Gain","$1.71","","",
"2c","Section 1202 Gain","","","",
"2d","Collectibles(28 %) Gain","","","",
"3","Nondividend Distributions","","$2.86","",
"4","Federal Income Tax Withheld","","","",
"5","DIV-199A","","$34.15","",
"6","Investment Expenses","","","",
"7","Foreign Tax Paid","","$20.47","",
"8","Foreign Country or U.S. Possession","","","",
"9","Cash Liquidation Distributions","","","",
"10","Noncash Liquidation Distributions","","","",
"11","Exempt-interest Dividends","","$257.98","",
"12","Specified Private Activity Bond Interest Dividends","","","",
"13","State","","","",
"14","State Identification No.","","","",
"15","State Tax Withheld","","","",
"","FATCA filing requirement","","","",
"Form 1099INT",
"Box","Description","Amount","Total","Details",
"1","Interest Income","","$0.35","",
"2","Early withdrawal penalty","","","",
"3","Interest on U.S. Savings Bonds and Treasury Obligations","","","",
"4","Federal Income Tax Withheld","","","",
"5","Investment Expenses","","","",
"6","Foreign Tax Paid","","","",
"7","Foreign Country or U.S. Possession","","","",
"8","Tax-Exempt Interest","","","",
"9","Specified Private Activity Bond Interest","","","",
"10","Market Discount","","","",
"11","Bond Premium","","","",
"12","Bond premium on Treasury obligations","","","",
"13","Bond Premium on Tax-Exempt Bond","","","",
"14","Tax-Exempt and Tax Credit Bond CUSIP No","","","",
"15","State","","","",
"16","State Identification No.","","","",
"17","State Tax Withheld","","","",
"","FATCA filing requirement","","","",

"Form 1099 B",
"1a","1b","1c","1d","1e","1f","1g","2","","3","4","5","6","7","8","9","10","11","12","13","14","15","16",
"Description of property (Example 100 sh. XYZ Co.)","Date acquired","Date sold or disposed","Proceeds","Cost or other basis","Accrued market discount","Wash sale loss disallowed","Short-Term gain loss Long-term gain or loss Ordinary","Form 8949 Code","Check if proceeds from collectibles QOF","Federal income tax withheld","Check if noncovered security","Reported to IRS: Gross proceeds Net proceeds","Check if loss is not allowed based on amount in 1d","Profit or (loss) realized in 2020 on closed contracts","Unrealized profit or (loss) on open contracts-12/31/2019","Unrealized profit or (loss) on open contracts-12/31/2020","Aggregate profit or (loss) on contracts","Check if basis reported to IRS","Bartering","State name","State identification no","State Tax Withheld",
"58.00 SCHWAB SHORT TERM US    TREASURY ETF","Various","05/13/2020","2996.50","2901.08","$0.00","$0.00","Long term","D","","0.00","Covered","Gross proceeds","","","","","","Yes","","","","",
"25.00 SCHWAB US AGGREGATE BONDETF","03/15/2017","05/15/2020","1389.51","1279.29","$0.00","$0.00","Long term","D","","0.00","Covered","Gross proceeds","","","","","","Yes","","","","",
"88.37 SCHWAB FUNDAMENTAL EMER MKT LARGE CO INDEX","Various","09/02/2020","696.37","787.72","$0.00","$0.00","Long term","D","","0.00","Covered","Gross proceeds","","","","","","Yes","","","","",
"59.19 SCHWAB FUNDAMENTAL EMER MKT LARGE CO INDEX","09/26/2011","09/02/2020","466.44","487.75","$0.00","$0.00","Long term","E","","0.00","Uncovered","Gross proceeds","","","","","","No","","","","",
"24.10 SCHWAB FUNDAMENTAL EMER MKT LARGE CO INDEX","02/27/2020","09/02/2020","189.88","200.00","$0.00","$0.00","Short term","A","","0.00","Covered","Gross proceeds","","","","","","Yes","","","","",
"42.98 SCHWAB FUNDAMENTAL US   LARGE CO INDEX","Various","12/09/2020","828.28","712.96","$0.00","$0.00","Long term","D","","0.00","Covered","Gross proceeds","","","","","","Yes","","","","",
"14.24 SCHWAB SMALL CAP INDEX  FUND","Various","12/09/2020","479.39","435.00","$0.00","$0.00","Long term","D","","0.00","Covered","Gross proceeds","","","","","","Yes","","","","",
"1.38 SCHWAB SMALL CAP INDEX  FUND","02/27/2020","12/09/2020","46.38","36.09","$0.00","$0.00","Short term","A","","0.00","Covered","Gross proceeds","","","","","","Yes","","","","",
"20.15 SCHWAB S&P 500 INDEX FD","Various","12/09/2020","1150.94","785.64","$0.00","$0.00","Long term","D","","0.00","Covered","Gross proceeds","","","","","","Yes","","","","",
