Account,XXXX-X898
Tax Year,2018

"Form 1099DIV",
"Box","Description","Amount","Total","Details",
"1a","Total Ordinary Dividends (Includes amount shown in box 1b)","","$752.48","",
"1b","Qualified Dividends","$387.61","","",
"2a","Total Capital Gain Distributions (Includes amounts shown in boxes 2b 2c and 2d)","","$584.40","",
"2b","Unrecap. Sec. 1250 Gain","$1.21","","",
"2c","Section 1202 Gain","","","",
"2d","Collectibles(28 %) Gain","","","",
"3","Nondividend Distributions","","","",
"4","Federal Income Tax Withheld","","","",
"5","DIV-199A","","$30.39","",
"6","Investment Expenses","","","",
"7","Foreign Tax Paid","","$22.35","",
"8","Foreign Country or U.S. Possession","","","",
"9","Cash Liquidation Distributions","","","",
"10","Noncash Liquidation Distributions","","","",
"11","Exempt-interest Dividends","","$295.76","",
"12","Specified Private Activity Bond Interest Dividends","","","",
"13","State","","","",
"14","State Identification No.","","","",
"15","State Tax Withheld","","","",
"","FATCA filing requirement","","","",
"Form 1099INT",
"Box","Description","Amount","Total","Details",
"1","Interest Income","","$0.24","",
"2","Early withdrawal penalty","","","",
"3","Interest on U.S. Savings Bonds and Treasury Obligations","","","",
"4","Federal Income Tax Withheld","","","",
"5","Investment Expenses","","","",
"6","Foreign Tax Paid","","","",
"7","Foreign Country or U.S. Possession","","","",
"8","Tax-Exempt Interest","","","",
"9","Specified Private Activity Bond Interest","","","",
"10","Market Discount","","","",
"11","Bond Premium","","","",
"12","Bond premium on Treasury obligations","","","",
"13","Bond Premium on Tax-Exempt Bond","","","",
"14","Tax-Exempt and Tax Credit Bond CUSIP No","","","",
"15","State","","","",
"16","State Identification No.","","","",
"17","State Tax Withheld","","","",
"","FATCA filing requirement","","","",
